statecode,statename,districtcode,district_name,localbodycode,localbody_name,localbody_type,status,confidence_score,disparity_category,validation_flag,top3_candidates
1,Jammu And Kashmir,4,Doda,248040,Municipal Committee Bhaderwah,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,4,Doda,254926,Municipal Committee Thathri,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,5,Jammu,248191,Municipal Committee Jourian,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,5,Jammu,248192,Municipal Committee Akhnoor,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,5,Jammu,248193,Municipal Committee Khour,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,5,Jammu,248194,Jammu Municipal Corporation,Municipal Corporations,AMBIGUOUS MATCH,0.5,HIGH DISPARITY,NEARLY RESOLVABLE,5:Jammu(50.0%)
1,Jammu And Kashmir,5,Jammu,248195,Municipal Committee Ghou-Manhasan,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,5,Jammu,248196,Municipal Committee R S Pura,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,5,Jammu,248197,Municipal Committee Bishnah,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,5,Jammu,248198,Municipal Committee Arnia,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,7,Kathua,248204,Municipal Committee Billawar,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,7,Kathua,276584,Municipal Committee Lakhanpur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,7,Kathua,276585,Municipal Committee Basohli,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,7,Kathua,276586,Municipal Committee Parole,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,7,Kathua,276594,Municipal Committee Hiranagar,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,8,Kupwara,248034,Municipal Council Kupwara,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,8,Kupwara,248035,Municipal Committee Handwara,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,8,Kupwara,248139,Municipal Committee Langate,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,10,Poonch,248042,Municipal Council Poonch,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,10,Poonch,253142,Municipal Committee Surankote,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,11,Pulwama,248162,Municipal Committee Pampore,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,11,Pulwama,248163,Municipal Committee Khrew,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,11,Pulwama,248164,Municipal Committee Tral,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,11,Pulwama,248165,Municipal Committee Awantipora,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,11,Pulwama,248166,Municipal Council Pulwama,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,12,Rajouri,248187,Municipal Committee Thanamandi,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,12,Rajouri,248190,Municipal Committee Sunderbani,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,12,Rajouri,276592,Municipal Council Rajouri,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,12,Rajouri,276593,Municipal Committee Nowshera,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,12,Rajouri,296984,Municipal Committee Kalakote,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,13,Srinagar,248156,Srinagar Municipal Corporation,Municipal Corporations,AMBIGUOUS MATCH,0.7727,HIGH DISPARITY,NEARLY RESOLVABLE,13:Srinagar(77.27%)
1,Jammu And Kashmir,14,Udhampur,248202,Municipal Council Samba,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,14,Udhampur,276587,Municipal Council Udhampur,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,14,Udhampur,276588,Municipal Committee Chenani,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,14,Udhampur,276589,Municipal Committee Ramnagar,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,620,Kishtwar,248041,Municipal Council Kishtwar,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,621,Ramban,248036,Municipal Committee Banihal,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,621,Ramban,248037,Municipal Council Ramban,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,622,Kulgam,248174,Municipal Council Kulgam,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,622,Kulgam,296987,Municipal Committee Devsar,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,622,Kulgam,296988,Municipal Committee Yaripora,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,622,Kulgam,296989,Municipal Committee Frisal,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,624,Samba,248199,Municipal Committee Bari Brahmana,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,624,Samba,248201,Municipal Committee Vijaypur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,624,Samba,248203,Municipal Committee Ramgarh,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,624,Samba,276581,Municipal Council Kathua,Notified Area Council,AI PREDICTION,1.0,,AMBIGUOUS PREDICTION,624:Samba(100.0%) | 14:Udhampur(100.0%) | 7:Kathua(100.0%)
1,Jammu And Kashmir,625,Shopian,248167,Municipal Council Shopian,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,626,Ganderbal,248155,Municipal Council Ganderbal,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,627,Reasi,276590,Municipal Council Reasi,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,627,Reasi,276591,Municipal Committee Katra,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,15,Bilaspur,248236,Ghumarwin,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,15,Bilaspur,248237,Talai,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,15,Bilaspur,248238,Naina Devi,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,15,Bilaspur,248239,Bilaspur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,16,Chamba,248044,Dalhousie,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,16,Chamba,248046,Chamba,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,16,Chamba,276627,Chowari,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,17,Hamirpur,248227,Tira Sujanpur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,17,Hamirpur,248228,Nadaun,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,17,Hamirpur,248229,Hamirpur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,17,Hamirpur,248230,Bhota,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,18,Kangra,248210,Nurpur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,18,Kangra,248211,Dharamshala,Municipal Corporations,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,18,Kangra,248213,Kangra,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,18,Kangra,248214,Nagrota Bagwan,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,18,Kangra,248216,Jawalamukhi,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,18,Kangra,248217,Palampur,Municipal Corporations,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,18,Kangra,274797,Baijnath-Paprola,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,18,Kangra,275535,Jawali,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,18,Kangra,276626,Dehra,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,18,Kangra,297015,Shahpur,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,20,Kullu,248218,Manali,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,20,Kullu,248219,Kullu,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,20,Kullu,248220,Bhuntar,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,20,Kullu,248221,Banjar,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,20,Kullu,248225,Mandi,Municipal Corporations,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,20,Kullu,248245,Rampur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,20,Kullu,297011,Nirmand,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,20,Kullu,297012,Anni,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,22,Mandi,248222,Jogindarnagar,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,22,Mandi,248223,Sarkaghat,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,22,Mandi,248224,Sundernagar,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,22,Mandi,248226,Rawalsar,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,22,Mandi,274794,Nerchowk,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,22,Mandi,276625,Karsog,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,23,Shimla,248246,Narkanda,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,23,Shimla,248247,Suni,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,23,Shimla,248248,Shimla,Municipal Corporations,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,23,Shimla,248249,Theog,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,23,Shimla,248250,Chopal,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,23,Shimla,248251,Jubbal,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,23,Shimla,248252,Kotkhai,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,23,Shimla,248253,Rohru,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,23,Shimla,297013,Chirgaon,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,23,Shimla,297014,Nerwa,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,24,Sirmaur,248043,Nahan,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,24,Sirmaur,248045,Paonta Sahib,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,24,Sirmaur,248047,Rajgarh,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,24,Sirmaur,248240,Arki,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,24,Sirmaur,248241,Nalagarh,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,24,Sirmaur,248242,Baddi,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,24,Sirmaur,248243,Parwanoo,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,24,Sirmaur,248244,Solan,Municipal Corporations,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,25,Solan,297010,Kandaghat,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,26,Una,248231,Daulatpur,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,26,Una,248232,Gagret,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,26,Una,248233,Una,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,26,Una,248234,Mehatpur Basdehra,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,26,Una,248235,Santokhgarh,Municipality,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,26,Una,276639,Tahliwal,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
2,Himachal Pradesh,26,Una,297009,Amb,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,27,Amritsar,248268,Ramdas,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,27,Amritsar,248269,Ajnala,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,27,Amritsar,248270,Raja Sansi,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,27,Amritsar,248271,Majitha,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,27,Amritsar,248272,Jandiala Guru,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,27,Amritsar,248273,Amritsar,Municipal Corporations,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,27,Amritsar,248274,Tarn-Taran,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,27,Amritsar,248276,Khemkaran,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,27,Amritsar,299457,Baba Bakala,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,248363,Rampura Phul,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,248364,Goniana,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,248366,Bhucho Mandi,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,248367,Bathinda,Municipal Corporations,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,248368,Sangat,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,248369,Kot Fatta,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,248370,Raman,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,248371,Maur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,248375,Bhikhi,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,248376,Mansa,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,253124,Talwandi Sabo,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,260770,Bhai Rupa,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,260771,Mehraj,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,260778,Lehra Mohabat,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,260779,Nathana,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,260780,Kotha Guru,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,260781,Maluka,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,260782,Kot Shamir,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,262906,Joga,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,28,Bathinda,276562,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,29,Faridkot,248358,Bariwala,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,29,Faridkot,248360,Faridkot,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,29,Faridkot,248361,Kot Kapura,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,29,Faridkot,248362,Jaitu,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,30,Fatehgarh Sahib,248327,Bassi Pathana,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,30,Fatehgarh Sahib,248328,Sirhind Fatehgarh Sahib,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,30,Fatehgarh Sahib,248329,Gobindgarh,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,30,Fatehgarh Sahib,248330,Amloh,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,30,Fatehgarh Sahib,248331,Khamanon,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,30,Fatehgarh Sahib,248402,Ghanaur,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,30,Fatehgarh Sahib,261762,Bhadson,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,31,Ferozepur,248346,Dharamkot,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,31,Ferozepur,248348,Makhu,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,31,Ferozepur,248349,Zira,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,31,Ferozepur,248350,Talwandi Bhai,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,31,Ferozepur,248351,Firozpur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,31,Ferozepur,248352,Guru Har Sahai,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,31,Ferozepur,248353,Jalalabad,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,31,Ferozepur,253122,Mudki,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,31,Ferozepur,253222,Mallanwala,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,31,Ferozepur,262989,Kot Ise Khan,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,31,Ferozepur,276647,Fatehgarh Panjtoor,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,31,Ferozepur,277197,Mamdot,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,32,Gurdaspur,248254,Sujanpur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,32,Gurdaspur,248256,Pathankot,Municipal Corporations,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,32,Gurdaspur,248259,Dinanagar,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,32,Gurdaspur,248260,Gurdaspur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,32,Gurdaspur,248262,Dhariwal,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,32,Gurdaspur,248263,Fatehgarh Churian,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,32,Gurdaspur,248264,Batala,Municipal Corporations,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,32,Gurdaspur,248265,Sri Hargobindpur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,32,Gurdaspur,248266,Qadian,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,32,Gurdaspur,248267,Dera Baba Nanak,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,32,Gurdaspur,277202,Norat Jamal Singh,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,248281,Bhulath,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,248285,Sultanpur Lodhi,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,248286,Phagwara,Municipal Corporations,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,248287,Lohian Khas,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,248288,Shahkot,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,248289,Nakodar,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,248291,Nurmahal,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,248292,Goraya,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,248293,Phillaur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,248294,Adampur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,248295,Alawalpur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,248296,Jalandhar,Municipal Corporations,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,248298,Bhogpur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,248299,Kartarpur,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,274218,Nadala,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,277200,Bilga,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,34,Jalandhar,277201,Mehatpur,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,35,Kapurthala,248280,Begowal,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,35,Kapurthala,248282,Dhilwan,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,35,Kapurthala,248283,Kapurthala,Municipal Corporations,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,36,Ludhiana,248332,Samrala,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,36,Ludhiana,248333,Machhiwara,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,36,Ludhiana,248334,Khanna,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,36,Ludhiana,248335,Maloud,Town Panchayat,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,36,Ludhiana,248336,Payal,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,36,Ludhiana,248337,Doraha,Municipality,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,36,Ludhiana,248338,Ludhiana,Municipal Corporations,FULL MATCH,1.0,,EXACT MATCH,
3,Punjab,36,Ludhiana,248339,Sahnewal,Municipality,FULL MATCH,1.0,,EXACT MATCH,
